Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
,Elephant Axe,Weapon,Axe,TwoHanded,56,8,-7,,Fire ,6,,,13,Infrequent,27144,Expanse,,,,,,,,Fire Elephant Axe
,Elephant Axe,Weapon,Axe,TwoHanded,56,8,-7,,Water ,6,,,13,Infrequent,27144,Expanse,,,,,,,,Water Elephant Axe
,Great Axe,Weapon,Axe,TwoHanded,8,4,-1,,Air ,6,,,1,Common,2088,Nordagh,,,,,,,,Air Great Axe
,Great Axe,Weapon,Axe,TwoHanded,8,4,-1,,Earth ,6,,,1,Common,2088,Nordagh,,,,,,,,Earth Great Axe
,Great Axe,Weapon,Axe,TwoHanded,8,4,-1,,Fire ,6,,,1,Common,2088,Nordagh,,,,,,,,Fire Great Axe
,Great Axe,Weapon,Axe,TwoHanded,8,4,-1,,Water ,6,,,1,Common,2088,Nordagh,,,,,,,,Water Great Axe
,Kheten,Weapon,Axe,TwoHanded,68,10,-9,,Air ,8,,,16,Rare,36864,Expanse,,,,,,,,Air Kheten
,Kheten,Weapon,Axe,TwoHanded,68,10,-9,,Earth ,8,,,16,Rare,36864,Expanse,,,,,,,,Earth Kheten
,Kheten,Weapon,Axe,TwoHanded,68,10,-9,,Fire ,8,,,16,Rare,36864,Expanse,,,,,,,,Fire Kheten
,Kheten,Weapon,Axe,TwoHanded,68,10,-9,,Water ,8,,,16,Rare,36864,Expanse,,,,,,,,Water Kheten
,Amazonian Bow,Weapon,Bow,Amazon,60,,-10,,,,,,20,Very Rare,20160,Imperia,,,,Animating,,,,Amazonian Bow
,Bow,Weapon,Bow,Plain,3,,-1,,,,,,1,Common,1368,Steppes,,,,Animating,,,,Bow
,Coral Bow,Weapon,Bow,Plain,42,,-8,,Water ,12,,,14,Infrequent,26208,Imperia,,,,Animating,,,,Water Coral Bow
,Flaming Bow,Weapon,Bow,Plain,33,,-7,,Fire ,10,,,11,Infrequent,19800,Steppes,,,,Animating,,,,Fire Flaming Bow
,Hunter's Bow,Weapon,Bow,Plain,18,,-5,,Air ,6,,,6,Common,9072,Nordagh,,,,Animating,,,,Air Hunter's Bow
,Hunter's Bow,Weapon,Bow,Plain,18,,-5,,Earth ,6,,,6,Common,9072,Nordagh,,,,Animating,,,,Earth Hunter's Bow
,Hunter's Bow,Weapon,Bow,Plain,18,,-5,,Fire ,6,,,6,Common,9072,Nordagh,,,,Animating,,,,Fire Hunter's Bow
,Hunter's Bow,Weapon,Bow,Plain,18,,-5,,Water ,6,,,6,Common,9072,Nordagh,,,,Animating,,,,Water Hunter's Bow
,Recurve Bow,Weapon,Bow,Plain,39,,-7,,Air ,10,,,13,Infrequent,23400,Steppes,,,,Animating,,,,Air Recurve Bow
,Recurve Bow,Weapon,Bow,Plain,39,,-7,,Earth ,10,,,13,Infrequent,23400,Steppes,,,,Animating,,,,Earth Recurve Bow
,Recurve Bow,Weapon,Bow,Plain,39,,-7,,Fire ,10,,,13,Infrequent,23400,Steppes,,,,Animating,,,,Fire Recurve Bow
,Recurve Bow,Weapon,Bow,Plain,39,,-7,,Water ,10,,,13,Infrequent,23400,Steppes,,,,Animating,,,,Water Recurve Bow
,Short Bow,Weapon,Bow,Plain,9,,-2,,,,,,3,Common,3888,Steppes,,,,Animating,,,,Short Bow
,Silver Bow,Weapon,Bow,Plain,30,,-6,,Air ,8,,,10,Frequent,16560,Imperia,,,,Animating,,,,Air Silver Bow
,Silver Bow,Weapon,Bow,Plain,30,,-6,,Earth ,8,,,10,Frequent,16560,Imperia,,,,Animating,,,,Earth Silver Bow
,Silver Bow,Weapon,Bow,Plain,30,,-6,,Fire ,8,,,10,Frequent,16560,Imperia,,,,Animating,,,,Fire Silver Bow
,Silver Bow,Weapon,Bow,Plain,30,,-6,,Water ,8,,,10,Frequent,16560,Imperia,,,,Animating,,,,Water Silver Bow
,Bottle,Weapon,Carafe,Satyr,30,6,-6,,Air ,11,,,10,Frequent,23040,Expanse,,,,Classspecific,,,,Air Bottle
,Crock,Weapon,Carafe,Satyr,42,8,-8,,Air ,15,,,14,Common,35280,Expanse,Imperia,Nordagh,Steppes,,,,,Air Crock
,Crock,Weapon,Carafe,Satyr,42,8,-8,,Earth ,15,,,14,Common,35280,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Crock
,Crock,Weapon,Carafe,Satyr,42,8,-8,,Fire ,15,,,14,Common,35280,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Crock
,Crock,Weapon,Carafe,Satyr,42,8,-8,,Water ,15,,,14,Common,35280,Expanse,Imperia,Nordagh,Steppes,,,,,Water Crock
,Cruet,Weapon,Carafe,Satyr,18,6,-5,,Air ,7,,,6,Common,12096,Expanse,Imperia,Nordagh,Steppes,,,,,Air Cruet
,Cruet,Weapon,Carafe,Satyr,18,6,-5,,Earth ,7,,,6,Common,12096,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Cruet
,Cruet,Weapon,Carafe,Satyr,18,6,-5,,Fire ,7,,,6,Common,12096,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Cruet
,Cruet,Weapon,Carafe,Satyr,18,6,-5,,Water ,7,,,6,Common,12096,Expanse,Imperia,Nordagh,Steppes,,,,,Water Cruet
,Decanter,Weapon,Carafe,Satyr,36,8,-7,,,,,,12,Frequent,19008,Expanse,,,,Classspecific,,,,Decanter
,Decorated Bottle,Weapon,Carafe,Satyr,54,10,-9,,Air ,18,,,18,Common,50544,Expanse,Imperia,Nordagh,Steppes,,,,,Air Decorated Bottle
,Decorated Bottle,Weapon,Carafe,Satyr,54,10,-9,,Earth ,18,,,18,Common,50544,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Decorated Bottle
,Decorated Bottle,Weapon,Carafe,Satyr,54,10,-9,,Fire ,18,,,18,Common,50544,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Decorated Bottle
,Decorated Bottle,Weapon,Carafe,Satyr,54,10,-9,,Water ,18,,,18,Common,50544,Expanse,Imperia,Nordagh,Steppes,,,,,Water Decorated Bottle
,Flagon,Weapon,Carafe,Satyr,9,4,-2,,Air ,6,,,3,Common,6048,Expanse,Imperia,Nordagh,Steppes,,,,,Air Flagon
,Flagon,Weapon,Carafe,Satyr,9,4,-2,,Earth ,6,,,3,Common,6048,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Flagon
,Flagon,Weapon,Carafe,Satyr,9,4,-2,,Fire ,6,,,3,Common,6048,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Flagon
,Flagon,Weapon,Carafe,Satyr,9,4,-2,,Water ,6,,,3,Common,6048,Expanse,Imperia,Nordagh,Steppes,,,,,Water Flagon
,Flask,Weapon,Carafe,Satyr,15,4,-4,,Earth ,6,,,5,Common,9360,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Earth Flask
,Heavy Bottle,Weapon,Carafe,Satyr,33,8,-7,,Air ,12,,,11,Common,26136,Expanse,Imperia,Nordagh,Steppes,,,,,Air Heavy Bottle
,Heavy Bottle,Weapon,Carafe,Satyr,33,8,-7,,Earth ,12,,,11,Common,26136,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Heavy Bottle
,Heavy Bottle,Weapon,Carafe,Satyr,33,8,-7,,Fire ,12,,,11,Common,26136,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Heavy Bottle
,Heavy Bottle,Weapon,Carafe,Satyr,33,8,-7,,Water ,12,,,11,Common,26136,Expanse,Imperia,Nordagh,Steppes,,,,,Water Heavy Bottle
,Hip Flask,Weapon,Carafe,Satyr,3,4,-1,,Air ,6,,,1,Common,2088,Expanse,Imperia,Nordagh,Steppes,,,,,Air Hip Flask
,Hip Flask,Weapon,Carafe,Satyr,3,4,-1,,Earth ,6,,,1,Common,2088,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Hip Flask
,Hip Flask,Weapon,Carafe,Satyr,3,4,-1,,Fire ,6,,,1,Common,2088,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Hip Flask
,Hip Flask,Weapon,Carafe,Satyr,3,4,-1,,Water ,6,,,1,Common,2088,Expanse,Imperia,Nordagh,Steppes,,,,,Water Hip Flask
,Jug,Weapon,Carafe,Satyr,51,10,-9,,Water ,17,,,17,Rare,50184,Nordagh,,,,Classspecific,,,,Water Jug
,Mug,Weapon,Carafe,Satyr,24,6,-5,,Fire ,9,,,8,Common,17280,Nordagh,,,,Classspecific,,,,Fire Mug
,Phial,Weapon,Carafe,Satyr,21,6,-5,,Air ,8,,,7,Common,14616,Expanse,Imperia,Nordagh,Steppes,,,,,Air Phial
,Phial,Weapon,Carafe,Satyr,21,6,-5,,Earth ,8,,,7,Common,14616,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Phial
,Phial,Weapon,Carafe,Satyr,21,6,-5,,Fire ,8,,,7,Common,14616,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Phial
,Phial,Weapon,Carafe,Satyr,21,6,-5,,Water ,8,,,7,Common,14616,Expanse,Imperia,Nordagh,Steppes,,,,,Water Phial
,Pitcher,Weapon,Carafe,Satyr,45,8,-8,,Earth ,16,,,15,Infrequent,41040,Steppes,,,,Classspecific,,,,Earth Pitcher
,Vial,Weapon,Carafe,Satyr,27,6,-6,,Air ,10,,,9,Common,19440,Expanse,Imperia,Nordagh,Steppes,,,,,Air Vial
,Vial,Weapon,Carafe,Satyr,27,6,-6,,Earth ,10,,,9,Common,19440,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Vial
,Vial,Weapon,Carafe,Satyr,27,6,-6,,Fire ,10,,,9,Common,19440,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Vial
,Vial,Weapon,Carafe,Satyr,27,6,-6,,Water ,10,,,9,Common,19440,Expanse,Imperia,Nordagh,Steppes,,,,,Water Vial
,Stick,Weapon,Club,Civilian,12,,-1,,,,,,1,Common,1368,Expanse,Imperia,Nordagh,Steppes,,,,,Stick
,Serrated Bone Club,Weapon,Club,Cyclops,60,,-10,,Earth ,18,,,19,Unique,38304,Imperia,,,,Classspecific,,,,Earth Serrated Bone Club
,Dark Oracle Staff,Weapon,Club,CyclopsLesser,104,,-1,,Dark ,20,,,1,Unique,2808,Nordagh,,,,Classspecific,,,,Dark Oracle Staff
,Dark Pillar of Hate,Weapon,Club,Galverg,66,,-1,,Dark ,12,,,1,Unique,2232,,,,,Classspecific,,,,Dark Pillar of Hate
,Bone Club,Weapon,Club,Plain,18,,-4,,Earth ,10,,,5,Common,9360,Imperia,,,,,,,,Earth Bone Club
,Club,Weapon,Club,Plain,6,,-1,,,,,,1,Common,1368,Nordagh,,,,,,,,Club
,Crude Mace,Weapon,Club,Plain,48,,-8,,Air ,10,,,15,Infrequent,25920,Imperia,,,,,,,,Air Crude Mace
,Crude Mace,Weapon,Club,Plain,48,,-8,,Earth ,10,,,15,Infrequent,25920,Imperia,,,,,,,,Earth Crude Mace
,Crude Mace,Weapon,Club,Plain,48,,-8,,Fire ,10,,,15,Infrequent,25920,Imperia,,,,,,,,Fire Crude Mace
,Crude Mace,Weapon,Club,Plain,48,,-8,,Water ,10,,,15,Infrequent,25920,Imperia,,,,,,,,Water Crude Mace
,Dabus,Weapon,Club,Plain,18,,-4,,Air ,10,,,5,Common,9360,Expanse,,,,,,,,Air Dabus
,Dabus,Weapon,Club,Plain,18,,-4,,Earth ,10,,,5,Common,9360,Expanse,,,,,,,,Earth Dabus
,Dabus,Weapon,Club,Plain,18,,-4,,Fire ,10,,,5,Common,9360,Expanse,,,,,,,,Fire Dabus
,Dabus,Weapon,Club,Plain,18,,-4,,Water ,10,,,5,Common,9360,Expanse,,,,,,,,Water Dabus
,Stone Club,Weapon,Club,Plain,33,,-6,,,,,,10,Rare,12240,Imperia,,,,,,,,Stone Club
,Wooden Bludgeon,Weapon,Club,Plain,12,,-2,,Earth ,10,,,3,Frequent,6264,Imperia,,,,,,,,Earth Wooden Bludgeon
,Horse Leg,Weapon,Club,Yeti,51,,-9,,Air ,0,,,16,Unique,12672,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Air Horse Leg
,Horse Leg,Weapon,Club,Yeti,51,,-9,,Earth ,0,,,16,Unique,12672,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Earth Horse Leg
,Horse Leg,Weapon,Club,Yeti,51,,-9,,Fire ,0,,,16,Unique,12672,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Fire Horse Leg
,Horse Leg,Weapon,Club,Yeti,51,,-9,,Water ,0,,,16,Unique,12672,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Water Horse Leg
,Piercing Hammer,Weapon,Hammer,Barbarian,92,,-10,,Earth ,18,,,20,Unique,50400,Nordagh,,,,Classspecific,,,,Earth Piercing Hammer
,Gavel,Weapon,Hammer,Centurion,84,,-9,,Air ,16,,,18,Unique,43740,Imperia,,,,Classspecific,,,,Air Gavel
,Gavel,Weapon,Hammer,Centurion,84,,-9,,Earth ,16,,,18,Unique,43740,Imperia,,,,Classspecific,,,,Earth Gavel
,Gavel,Weapon,Hammer,Centurion,84,,-9,,Fire ,16,,,18,Unique,43740,Imperia,,,,Classspecific,,,,Fire Gavel
,Gavel,Weapon,Hammer,Centurion,84,,-9,,Water ,16,,,18,Unique,43740,Imperia,,,,Classspecific,,,,Water Gavel
,Crusher,Weapon,Hammer,Heavy,70,,-8,,Air ,14,,,15,Infrequent,37800,Nordagh,,,,,,,,Air Crusher
,Crusher,Weapon,Hammer,Heavy,70,,-8,,Earth ,14,,,15,Infrequent,37800,Nordagh,,,,,,,,Earth Crusher
,Crusher,Weapon,Hammer,Heavy,70,,-8,,Fire ,14,,,15,Infrequent,37800,Nordagh,,,,,,,,Fire Crusher
,Crusher,Weapon,Hammer,Heavy,70,,-8,,Water ,14,,,15,Infrequent,37800,Nordagh,,,,,,,,Water Crusher
,Curtus Saxum,Weapon,Hammer,Heavy,88,,-10,,Water ,12,,,19,Rare,42750,Imperia,,,,,,,,Water Curtus Saxum
,Dalima,Weapon,Hammer,Heavy,84,,-9,,Water ,16,,,18,Rare,48600,Expanse,,,,,,,,Water Dalima
,Deletum,Weapon,Hammer,Heavy,70,,-8,,Air ,12,,,15,Infrequent,35100,Imperia,,,,,,,,Air Deletum
,Deletum,Weapon,Hammer,Heavy,70,,-8,,Earth ,12,,,15,Infrequent,35100,Imperia,,,,,,,,Earth Deletum
,Deletum,Weapon,Hammer,Heavy,70,,-8,,Fire ,12,,,15,Infrequent,35100,Imperia,,,,,,,,Fire Deletum
,Deletum,Weapon,Hammer,Heavy,70,,-8,,Water ,12,,,15,Infrequent,35100,Imperia,,,,,,,,Water Deletum
,Goupillon,Weapon,Hammer,Heavy,62,,-7,,Air ,12,,,13,Infrequent,31590,Expanse,,,,,,,,Air Goupillon
,Goupillon,Weapon,Hammer,Heavy,62,,-7,,Earth ,12,,,13,Infrequent,31590,Expanse,,,,,,,,Earth Goupillon
,Goupillon,Weapon,Hammer,Heavy,62,,-7,,Fire ,12,,,13,Infrequent,31590,Expanse,,,,,,,,Fire Goupillon
,Goupillon,Weapon,Hammer,Heavy,62,,-7,,Water ,12,,,13,Infrequent,31590,Expanse,,,,,,,,Water Goupillon
,Ivory Mallet,Weapon,Hammer,Heavy,40,,-5,,,,,,8,Infrequent,12240,Steppes,,,,,,,,Ivory Mallet
,Miner's Pick,Weapon,Hammer,Heavy,9,,-1,,,,,,1,Common,1710,Expanse,,,,,,,,Miner's Pick
,Quadrelle,Weapon,Hammer,Heavy,53,,-7,,,,,,11,Infrequent,14850,Expanse,,,,,,,,Quadrelle
,Samaam,Weapon,Hammer,Heavy,66,,-8,,Air ,12,,,14,Frequent,31500,Expanse,,,,,,,,Air Samaam
,Samaam,Weapon,Hammer,Heavy,66,,-8,,Earth ,12,,,14,Frequent,31500,Expanse,,,,,,,,Earth Samaam
,Samaam,Weapon,Hammer,Heavy,66,,-8,,Fire ,12,,,14,Frequent,31500,Expanse,,,,,,,,Fire Samaam
,Samaam,Weapon,Hammer,Heavy,66,,-8,,Water ,12,,,14,Frequent,31500,Expanse,,,,,,,,Water Samaam
,Sledgehammer,Weapon,Hammer,Heavy,18,,-2,,Air ,6,,,3,Common,6480,Steppes,,,,,,,,Air Sledgehammer
,Sledgehammer,Weapon,Hammer,Heavy,18,,-2,,Earth ,6,,,3,Common,6480,Steppes,,,,,,,,Earth Sledgehammer
,Sledgehammer,Weapon,Hammer,Heavy,18,,-2,,Fire ,6,,,3,Common,6480,Steppes,,,,,,,,Fire Sledgehammer
,Sledgehammer,Weapon,Hammer,Heavy,18,,-2,,Water ,6,,,3,Common,6480,Steppes,,,,,,,,Water Sledgehammer
,Stone Maul,Weapon,Hammer,Heavy,22,,-3,,Earth ,6,,,4,Frequent,8640,Expanse,,,,,,,,Earth Stone Maul
,Tou-Fung,Weapon,Hammer,Heavy,31,,-5,,Fire ,8,,,6,Frequent,12960,Steppes,,,,,,,,Fire Tou-Fung
,War Hammer,Weapon,Hammer,Heavy,48,,-6,,,,,,10,Common,12600,Nordagh,,,,,,,,War Hammer
,Claw Hammer,Weapon,Hammer,Medium,36,,-6,,,,,,10,Frequent,11250,Imperia,,,,,,,,Claw Hammer
,Clenched Fist,Weapon,Hammer,Medium,56,,-9,,Air ,14,,,16,Very Rare,34800,Imperia,,,,,,,,Air Clenched Fist
,Clenched Fist,Weapon,Hammer,Medium,56,,-9,,Earth ,14,,,16,Very Rare,34800,Imperia,,,,,,,,Earth Clenched Fist
,Clenched Fist,Weapon,Hammer,Medium,56,,-9,,Fire ,14,,,16,Very Rare,34800,Imperia,,,,,,,,Fire Clenched Fist
,Clenched Fist,Weapon,Hammer,Medium,56,,-9,,Water ,14,,,16,Very Rare,34800,Imperia,,,,,,,,Water Clenched Fist
,Crowbill,Weapon,Hammer,Medium,20,,-4,,Air ,6,,,5,Common,8250,Imperia,,,,,,,,Air Crowbill
,Crowbill,Weapon,Hammer,Medium,20,,-4,,Earth ,6,,,5,Common,8250,Imperia,,,,,,,,Earth Crowbill
,Crowbill,Weapon,Hammer,Medium,20,,-4,,Fire ,6,,,5,Common,8250,Imperia,,,,,,,,Fire Crowbill
,Crowbill,Weapon,Hammer,Medium,20,,-4,,Water ,6,,,5,Common,8250,Imperia,,,,,,,,Water Crowbill
,Fang,Weapon,Hammer,Medium,40,,-7,,,,,,11,Infrequent,12375,Steppes,,,,,,,,Fang
,Hoeroa,Weapon,Hammer,Medium,50,,-8,,Water ,14,,,14,Rare,30450,Expanse,,,,,,,,Water Hoeroa
,Horn Hammer,Weapon,Hammer,Medium,23,,-5,,Earth ,8,,,6,Frequent,10800,Nordagh,,,,,,,,Earth Horn Hammer
,Jitte,Weapon,Hammer,Medium,13,,-2,,,,,,3,Common,4050,Steppes,,,,,,,,Jitte
,Light Pick,Weapon,Hammer,Medium,30,,-5,,Water ,10,,,8,Frequent,15600,Nordagh,,,,,,,,Water Light Pick
,Mallet,Weapon,Hammer,Medium,17,,-3,,Air ,6,,,4,Common,6900,Expanse,,,,,,,,Air Mallet
,Mallet,Weapon,Hammer,Medium,17,,-3,,Earth ,6,,,4,Common,6900,Expanse,,,,,,,,Earth Mallet
,Mallet,Weapon,Hammer,Medium,17,,-3,,Fire ,6,,,4,Common,6900,Expanse,,,,,,,,Fire Mallet
,Mallet,Weapon,Hammer,Medium,17,,-3,,Water ,6,,,4,Common,6900,Expanse,,,,,,,,Water Mallet
,Morningstar,Weapon,Hammer,Medium,63,,-9,,Air ,16,,,18,Rare,40500,Nordagh,,,,,,,,Air Morningstar
,Morningstar,Weapon,Hammer,Medium,63,,-9,,Earth ,16,,,18,Rare,40500,Nordagh,,,,,,,,Earth Morningstar
,Morningstar,Weapon,Hammer,Medium,63,,-9,,Fire ,16,,,18,Rare,40500,Nordagh,,,,,,,,Fire Morningstar
,Morningstar,Weapon,Hammer,Medium,63,,-9,,Water ,16,,,18,Rare,40500,Nordagh,,,,,,,,Water Morningstar
,Pernat,Weapon,Hammer,Medium,53,,-8,,Air ,14,,,15,Infrequent,31500,Nordagh,,,,,,,,Air Pernat
,Pernat,Weapon,Hammer,Medium,53,,-8,,Earth ,14,,,15,Infrequent,31500,Nordagh,,,,,,,,Earth Pernat
,Pernat,Weapon,Hammer,Medium,53,,-8,,Fire ,14,,,15,Infrequent,31500,Nordagh,,,,,,,,Fire Pernat
,Pernat,Weapon,Hammer,Medium,53,,-8,,Water ,14,,,15,Infrequent,31500,Nordagh,,,,,,,,Water Pernat
,Stone Hammer,Weapon,Hammer,Medium,46,,-7,,Earth ,12,,,13,Frequent,25350,Nordagh,,,,,,,,Earth Stone Hammer
,Studded Fist,Weapon,Hammer,Medium,66,,-10,,Air ,16,,,19,Rare,41325,Imperia,,,,,,,,Air Studded Fist
,Studded Fist,Weapon,Hammer,Medium,66,,-10,,Earth ,16,,,19,Rare,41325,Imperia,,,,,,,,Earth Studded Fist
,Studded Fist,Weapon,Hammer,Medium,66,,-10,,Fire ,16,,,19,Rare,41325,Imperia,,,,,,,,Fire Studded Fist
,Studded Fist,Weapon,Hammer,Medium,66,,-10,,Water ,16,,,19,Rare,41325,Imperia,,,,,,,,Water Studded Fist
,Weighted Mallet,Weapon,Hammer,Medium,33,,-6,,Air ,10,,,9,Frequent,16875,Steppes,,,,,,,,Air Weighted Mallet
,Weighted Mallet,Weapon,Hammer,Medium,33,,-6,,Earth ,10,,,9,Frequent,16875,Steppes,,,,,,,,Earth Weighted Mallet
,Weighted Mallet,Weapon,Hammer,Medium,33,,-6,,Fire ,10,,,9,Frequent,16875,Steppes,,,,,,,,Fire Weighted Mallet
,Weighted Mallet,Weapon,Hammer,Medium,33,,-6,,Water ,10,,,9,Frequent,16875,Steppes,,,,,,,,Water Weighted Mallet
,Columnar Hammer,Weapon,Hammer,Minotaur,75,,-9,,Air ,16,,,16,Unique,38880,Nordagh,,,,Classspecific,,,,Air Columnar Hammer
,Columnar Hammer,Weapon,Hammer,Minotaur,75,,-9,,Earth ,16,,,16,Unique,38880,Nordagh,,,,Classspecific,,,,Earth Columnar Hammer
,Columnar Hammer,Weapon,Hammer,Minotaur,75,,-9,,Fire ,16,,,16,Unique,38880,Nordagh,,,,Classspecific,,,,Fire Columnar Hammer
,Columnar Hammer,Weapon,Hammer,Minotaur,75,,-9,,Water ,16,,,16,Unique,38880,Nordagh,,,,Classspecific,,,,Water Columnar Hammer
,Biathainne,Weapon,Hammer,TwoHanded,48,,-6,,Earth ,10,,,10,Infrequent,23400,Nordagh,,,,Classspecific,,,,Earth Biathainne
,Guardian's Mallet,Weapon,Hammer,TwoHanded,79,,-9,,Air ,12,,,17,Rare,39780,Steppes,,,,,,,,Air Guardian's Mallet
,Guardian's Mallet,Weapon,Hammer,TwoHanded,79,,-9,,Earth ,12,,,17,Rare,39780,Steppes,,,,,,,,Earth Guardian's Mallet
,Guardian's Mallet,Weapon,Hammer,TwoHanded,79,,-9,,Fire ,12,,,17,Rare,39780,Steppes,,,,,,,,Fire Guardian's Mallet
,Guardian's Mallet,Weapon,Hammer,TwoHanded,79,,-9,,Water ,12,,,17,Rare,39780,Steppes,,,,,,,,Water Guardian's Mallet
,Hercules Club,Weapon,Hammer,TwoHanded,35,,-5,,,,,,7,Common,9450,Imperia,,,,,,,,Hercules Club
,Maul,Weapon,Hammer,TwoHanded,18,,-2,,,,,,3,Common,4860,Nordagh,,,,,,,,Maul
,Plombee,Weapon,Hammer,TwoHanded,44,,-6,,Air ,10,,,9,Frequent,20250,Steppes,,,,,,,,Air Plombee
,Plombee,Weapon,Hammer,TwoHanded,44,,-6,,Earth ,10,,,9,Frequent,20250,Steppes,,,,,,,,Earth Plombee
,Plombee,Weapon,Hammer,TwoHanded,44,,-6,,Fire ,10,,,9,Frequent,20250,Steppes,,,,,,,,Fire Plombee
,Plombee,Weapon,Hammer,TwoHanded,44,,-6,,Water ,10,,,9,Frequent,20250,Steppes,,,,,,,,Water Plombee
,Skullbasher,Weapon,Hammer,TwoHanded,66,,-8,,Earth ,12,,,14,Rare,34020,Nordagh,,,,,,,,Earth Skullbasher
,Dark Horn Hammer Dark,Weapon,Hammer,Undead,23,,-5,,Dark ,8,,,6,Frequent,12960,Nordagh,,,,Classspecific,,,,Dark Horn Hammer Dark
,Aclys,Weapon,Javelin,Plain,6,,-1,,,,,,1,Common,1231,Imperia,,,,,,,,Aclys
,Egchos,Weapon,Javelin,Plain,18,,-4,,Air ,6,,,5,Frequent,7452,Imperia,,,,,,,,Air Egchos
,Egchos,Weapon,Javelin,Plain,18,,-4,,Earth ,6,,,5,Frequent,7452,Imperia,,,,,,,,Earth Egchos
,Egchos,Weapon,Javelin,Plain,18,,-4,,Fire ,6,,,5,Frequent,7452,Imperia,,,,,,,,Fire Egchos
,Egchos,Weapon,Javelin,Plain,18,,-4,,Water ,6,,,5,Frequent,7452,Imperia,,,,,,,,Water Egchos
,Fuscina,Weapon,Javelin,Plain,30,,-6,,Air ,5,,,9,Very Rare,13414,Imperia,,,,,,,,Air Fuscina
,Fuscina,Weapon,Javelin,Plain,30,,-6,,Earth ,5,,,9,Very Rare,13414,Imperia,,,,,,,,Earth Fuscina
,Fuscina,Weapon,Javelin,Plain,30,,-6,,Fire ,5,,,9,Very Rare,13414,Imperia,,,,,,,,Fire Fuscina
,Fuscina,Weapon,Javelin,Plain,30,,-6,,Water ,5,,,9,Very Rare,13414,Imperia,,,,,,,,Water Fuscina
,Gaesum,Weapon,Javelin,Plain,42,,-7,,,,,,13,Rare,13478,Imperia,,,,,,,,Gaesum
,Jaculum,Weapon,Javelin,Plain,17,,-3,,Air ,6,,,4,Frequent,6221,Imperia,,,,,,,,Air Jaculum
,Jaculum,Weapon,Javelin,Plain,17,,-3,,Earth ,6,,,4,Frequent,6221,Imperia,,,,,,,,Earth Jaculum
,Jaculum,Weapon,Javelin,Plain,17,,-3,,Fire ,6,,,4,Frequent,6221,Imperia,,,,,,,,Fire Jaculum
,Jaculum,Weapon,Javelin,Plain,17,,-3,,Water ,6,,,4,Frequent,6221,Imperia,,,,,,,,Water Jaculum
,Javelin,Weapon,Javelin,Plain,45,,-8,,Air ,10,,,14,Common,19958,Imperia,,,,,,,,Air Javelin
,Khonsu,Weapon,Javelin,Plain,33,,-6,,Air ,6,,,10,Infrequent,14256,Steppes,,,,Classspecific,,,,Air Khonsu
,Koveh,Weapon,Javelin,Plain,51,,-9,,Air ,14,,,16,Infrequent,27994,Expanse,,,,,,,,Air Koveh
,Koveh,Weapon,Javelin,Plain,51,,-9,,Earth ,14,,,16,Infrequent,27994,Expanse,,,,,,,,Earth Koveh
,Koveh,Weapon,Javelin,Plain,51,,-9,,Fire ,14,,,16,Infrequent,27994,Expanse,,,,,,,,Fire Koveh
,Koveh,Weapon,Javelin,Plain,51,,-9,,Water ,14,,,16,Infrequent,27994,Expanse,,,,,,,,Water Koveh
,Pilum,Weapon,Javelin,Plain,48,,-8,,Air ,12,,,15,Frequent,24300,Imperia,,,,,,,,Air Pilum
,Pilum,Weapon,Javelin,Plain,48,,-8,,Earth ,12,,,15,Frequent,24300,Imperia,,,,,,,,Earth Pilum
,Pilum,Weapon,Javelin,Plain,48,,-8,,Fire ,12,,,15,Frequent,24300,Imperia,,,,,,,,Fire Pilum
,Pilum,Weapon,Javelin,Plain,48,,-8,,Water ,12,,,15,Frequent,24300,Imperia,,,,,,,,Water Pilum
,Sinan,Weapon,Javelin,Plain,21,,-5,,Earth ,6,,,6,Infrequent,8942,Expanse,,,,,,,,Earth Sinan
,Spear,Weapon,Javelin,Plain,27,,-5,,,,,,8,Common,10886,Imperia,,,,,,,,Spear
