//name, class, customize info, stats, items, skills, school
NUMUNITS: 2173
"Raouq","UndeadMeleeExpA","","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseUndead"
"Rasim","BanditB","2#","StatSet0","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Rathje","Bear","4#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Ratsinis","UndeadMeleeNorA","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Raziya","BanditAF","","StatSet0","ItemSetEF","SkillSetAffF","Mikara Jackals"
"Rea","BanditBF","3#","StatSet0","ItemSetNE","SkillSetAffE","ImperiaTrikataLocalRecruit"
"Redwood","PropBarrel","","StatSet0","","prop_BarrelNorm","ImperiaSyrnaPropSchool"
"Regan","BanditAF","2#","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Rehema","DervishF","2#","StatSet0","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Rem","Wolf","2#","StatSet0","ItemSetNE","SkillSetAffE","WildernessImperiaWolf"
"Remf","ChannelerImp","3#","StatSet2","ItemSetEA","SkillSetAffA","NoSchool"
"Renenutet","Scorpion","2#Bug_08","statset0","ItemSetEF","SkillSetAffF","School of the Desert Oasis"
"Rex","Wolf","1#","statset0","itemsetNE","skillsetcomb","BelfortBeast"
"Rhea","SamniteImpF","3#Imperia_05","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosMunio"
"Rhilei","Berserker","1#berserker10","StatSet0","ItemSetSE","SkillSetAffE","Baneful Berserkers"
"Rhoswen","GungnirF","4#Nordagh_20","StatSet0","ItemSetNE","SkillSetAffE","Eyes of the Beast"
"Rhumran","MongrelShaman","1#Nordagh_12","StatSet0","ItemSetSF","SkillSetAffF","Vhyn Vagrants"
"Riane","Galdr","","StatSet0","ItemSetNU","SkillSetComb","School of Past Glory"
"Ricci","BanditA","3#","StatSet1","ItemSetEU","SkillSetComb","WildernessImperiaOutlaw"
"Rice","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Rierdan","BanditA","1#School_RedYellow3","Statset0","ItemSetNF","skillsetaffF","Fliuch Falcons"
"Rilei","BerserkerF","1#School_YellowGreen4","StatSet0","ItemSetNU","SkillSetComb","Rywigo Arrowheads"
"Rili","BerserkerF","2#School_PurpleTurq1","statset0","ItemSetNA","skillsetaffA","Krigare School"
"Rima","Wolf","1#","StatSet0","ItemSetNE","SkillSetAffE","ImperiaMawLocalRecruits"
"Rimran","MongrelShaman","0#School_BlueGreen5","StatSet0","ItemSetEA","SkillSetAffA","School of Osiris"
"Rindericus","Centurion","2#School_BlackOrange2","StatSet0","ItemSetIF","SkillSetAffF","Altheas Vipers"
"Rio","Wolf","0#","statset0","ItemsetNE","skillsetcomb","United Packs of Sloan Forest"
"Rioghbhardan","Barbarian","1#","StatSet0","ItemSetNE","SkillSetComb","NoSchool"
"Riona","BarbarianF","3#Nordagh_19","StatSet0","ItemSetNW","SkillSetAffW","Krakens"
"Roark","Barbarian","1#Nordagh_05","StatSet0","ItemSetNU","SkillSetComb",""
"Rogan","Berserker","2#berserker09","statset0","ItemSetNW","skillsetaffW","Dragonheart Militia"
"Rogue","Dervish","3#","StatSet0","ItemSetIU","SkillSetComb","The Loosers"
"Rois","BanditAF","3#","Statset0","ItemSetNF","skillsetcomb","Scum of the Earth"
"Roisin","GungnirF","","StatSet0","ItemSetNU","SkillSetComb","Rangers"
"Romar","Cyclops","3#","StatSet0","ItemSetIW","SkillSetAffW","ImperiaMonsterSchool"
"Ronal","Barbarian","0#Nordagh_16","Statset0","ItemSetNF","skillsetcomb","Scum of the Earth"
"Ronn","BanditB","2#","StatSet0","ItemSetNA","SkillSetAffA","WildernessNordaghOutlaw"
"Ros","Berserker","3#berserker04","statset0","ItemSetNF","skillsetcomb","Morder Tribe"
"Rowen","BanditA","1#","StatSet1","ItemSetNE","SkillSetAffE","WildernessNordaghOutlaw"
"Rownet","BerserkerF","3#berserker06","StatSet0","ItemSetSF","SkillSetAffF","Baneful Berserkers"
"Royan","Gungnir","2#Nordagh_06","statset0","ItemsetNF","skillsetcomb","Vargen Irregulars"
"Ruaidhri","MongrelShaman","2#School_YellowGreen4","StatSet0","ItemSetNW","SkillSetAffW","Rywigo Arrowheads"
"Rugh","Yeti","3#Yeti1","StatSet0","ItemSetNE","SkillSetAffE",""
"Ruqayna","ChannelerImp","0#School_BlueGreen4","StatSet0","ItemSetEF","SkillSetAffF","School of Osiris"
"Rusi","Legionnaire","","StatSet0","ItemSetIF","SkillSetAffF","ImperiaSyrnaLocalRecruits"
"Rustius","Legionnaire","4#School_Mutuus","StatSet5","ItemSetIA","SkillSetComb","School of Mutuus"
"Rustius_Dark","DarkLegionnaire","","StatSet0","ItemSetID","SkillSetAffD","NoSchool"
"Ruthi","SecutorImpF","3#School_BlackOrange1","StatSet5","ItemSetIA","SkillSetComb","Altheas Vipers"
"Ryane","BerserkerF","4#School_RedPurple4","StatSet0","ItemSetSA","SkillSetAffA","School of Xandus"
"Saadak","UndeadMeleeImpA","","StatSet1","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Sabahat","Cat","1#","StatSet3","ItemSetSU","SkillSetComb","WildernessSteppesPuma"
"Sabef","Summoner","1#Expanse_15","StatSet0","ItemSetEA","SummonerqstPFA","The Royal Casters"
"Sabha","SamniteSteF","","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Sabrina","BarbarianF","1#Nordagh_04","statset0","ItemSetNF","skillsetaffF","The Harbingers"
"Saccius","secutorImp","4#Imperia_14","statset0","ItemSetIA","skillsetcomb","ImperiaSchool"
"Sadb","BerserkerF","1#berserker06","StatSet0","ItemSetSE","SkillSetAffE","Baneful Berserkers"
"Saeed","UndeadMeleeNorA","","StatSet1","ItemSetEU","SkillSetComb","WildernessExpanseUndead"
"Sagaen","Legionnaire","0#School_BlueWhite2","statset0","ItemSetIW","skillsetcomb","BelfortMilitary"
"Sahhf","UndeadMeleeNorA","","StatSet1","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Sahlu","Bear","0#","StatSet0","ItemSetSE","SkillSetAffE","NoSchool"
"Sai","PeltastF","3#","StatSet5","ItemSetIF","SkillSetAffF","ImperiaChampionship"
"Sakhmet","UndeadMeleeSteB","0#School_RedBlue4","StatSet0","ItemSetSD","SkillSetAffD","Qo'ai-Marael"
"Salaam","SecutorSte","4#expanse_19","StatSet0","ItemSetSW","SkillSetAffW","The Loosers"
"Salatis","BanditB","4#","StatSet2","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Salieva","Cat","1#","StatSet2","ItemSetSA","SkillSetAffA","WildernessSteppesPuma"
"Salihah","BanditBF","","StatSet0","ItemSetEF","SkillSetAffF","Mikara Jackals"
"Salim","Cat","1#","StatSet0","ItemSetSU","SkillSetComb","WildernessSteppesPuma"
"Salinna","ChannelerImp","2#Imperia_09","StatSet5","ItemSetIF","SkillSetAffF","ImperiaPirgosChannelers"
"Samani","Summoner","1#qstHellGateEarth","StatSet1","itemsetHGEarth","SummonerHGEarth","qstHellGateSchoolEarth"
"Samarkand","DarkCat","0#School_YellowBlack5","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Sameh","BanditB","2#","StatSet1","ItemSetEE","SkillSetAffE","WildernessExpanseOutlaw"
"Samhoair","BerserkerF","2#berserker12","StatSet0","ItemSetSW","SkillSetAffW","Baneful Berserkers"
"SamniteExpF","samniteExpF","4#Expanse_20","statset0","ItemSetEF","skillsetcomb","The Quarry Warriors"
"SamniteSteF","samniteSteF","2#Steppes_09","statset0","itemsetSF","skillsetcomb","SteppesSchool"
"Samus","Wolf","3#","statset0","ItemsetNE","skillsetaffE","United Packs of Sloan Forest"
"Sanehet","UndeadMeleeSteA","","StatSet1","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Sanspoof","CatGreater","3#","StatSet0","ItemSetEU","SkillSetComb",""
"Sappy","PropBarrel","","StatSet0","","prop_BarrelNorm","ImperiaSyrnaPropSchool"
"Sarenenutet","Summoner","0#qstSarenenutet","StatSet0","ItemSetEF","SkillSetAffF",""
"Sarenenutet_2","UndeadCasterA","0#qstSarenenutet","StatSet0","itemsetSarenDead","skillsetHGSaren",""
"Satan","Wolf","2#","StatSet0","ItemSetIE","SkillSetAffE","Beware of Dog"
"Sati","BanditBF","3#","StatSet2","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Scarab_Summoned","Scarab","","StatSet0","ItemSetIF","SkillSetAffF","NoSchool"
"Scarphe","MurmilloF","","StatSet0","ItemSetIE","SkillSetAffE","Baneful Berserkers"
"Scientia","Wolf","1#","statset0","itemsetNE","skillsetcomb","BelfortBeast"
"Scorpion_Summoned","Scorpion","","StatSet0","ItemSetEF","SkillSetAffF","NoSchool"
"Scrochek","Ogre","1#School_YellowGreen2","StatSet0","ItemSetSU","SkillSetComb","Rywigo Arrowheads"
"Scully","Berserker","2#berserker07","statset0","ItemSetNF","skillsetcomb","The Harbingers"
"Scylax","Minotaur","1#Minotaur4","StatSet0","ItemSetSA","SkillSetComb","The Invaders"
"Seamus","Satyr","2#Satyr1","statset0","ItemsetNE","skillsetaffE","The Sylvan Ones"
"Seana","BerserkerF","3#berserker15","Statset0","ItemSetNF","skillsetcomb","High Krigare School"
"Searc","Barbarian","1#Nordagh_05","statset0","ItemSetNF","skillsetaffF","Uvanlig's Motley"
"Seb","SamniteExp","4#School_PurpleTurq2","statset0","ItemsetNF","skillsetcomb","Krigare School"
"Sebastian","Archer","1#","StatSet3","ItemSetOnslaught","SkillSetAffF","ImperiaOrusOnslaught"
"Sechen","ArcherF","3#","StatSet0","ItemSetSE","SkillSetAffE","WildernessSteppesOutlaw"
"Sedjefkare","CitizenExp","","StatSet4","ItemSetEU","SkillSetComb","Expanse Citizens"
"Sefu","Dervish","4#Expanse_08","StatSet0","ItemSetEE","SkillSetAffE","The Underclass of Akar An"
"Sekhemkare","Dervish","1#Expanse_19","StatSet0","ItemSetEA","SkillSetAffA","Sandskimmers"
"Selena","Wolf","2#","StatSet0","ItemsetNE","skillsetaffE","Masters of the Glade"
"Semantha","CitizenImpF","2#Imperia_16","StatSet4","ItemSetIA","SkillSetComb","ImperiaTribunal"
"Senan","Berserker","4#berserker12","statset0","ItemSetNE","skillsetaffE","Dragonheart Militia"
"Senga","Yeti","3#Yeti5","statset0","ItemsetNW","skillsetcomb","The Elders"
"Seosaidh","UndeadCasterB","0#Nordagh_13","statset0","ItemsetND","skillsetcomb","Death after Death"
"Seosaph","Barbarian","0#School_BlackPurple4","StatSet0","ItemSetNU","SkillSetComb","Quarry Warriors"
"Serret","Amazon","2#School_BlackOrange2","StatSet3","ItemSetSW","SkillSetComb","Altheas Vipers"
"Servatius","SecutorImp","4#School_BlueWhite3","statset0","ItemSetIE","skillsetcomb","BelfortMilitary"
"Servius","Wolf","2#","StatSet2","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Serwacy","SecutorImp","1#Imperia_02","statset0","ItemSetSW","SkillSetAffW","ImperiaPirgosLocalRecruits"
"Setep","Cyclops","2#School_RedBlue4","statset0","itemsetIA","skillsetcomb","Qo'ai-Marael"
"Sethe","UndeadMeleeSteA","","StatSet0","ItemSetED","SkillSetComb","WildernessExpanseUndead"
"Sethos","UndeadCasterA","","StatSet0","ItemSetED","SkillSetComb","WildernessExpanseUndead"
"Setibogius","Legionnaire","2#School_BlackBlue1","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosBrutes"
"Seumas","BanditB","4#","StatSet0","ItemSetNW","SkillSetAffW",""
"Sevdiya","Cat","","StatSet0","ItemSetSA","SkillSetAffA","Lioness"
"Severin","secutorImp","1#Imperia_12","statset0","ItemSetIE","skillsetcomb","ImperiaSchool"
"Seyahat","DarkCat","0#School_RedBrown5","StatSet0","ItemSetED","SkillSetAffD","Mortuus' Minions"
"Sgaire","UndeadMeleeNorB","","StatSet0","ItemSetND","SkillSetAffD","Story Characters"
"Shae","Satyr","2#Satyr1","StatSet0","ItemSetEF","SkillSetAffF","Shepards of Sloan"
"Shai","BanditA","4#School_RedYellow2","Statset0","ItemSetNF","skillsetcomb","Fliuch Falcons"
"Shakel","BanditB","4#","StatSet2","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Shamsi","UndeadMeleeExpA","","StatSet2","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Shani","DervishF","2#","StatSet1","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Shaye","BarbarianF","4#Nordagh_07","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Shayee","Gungnir","1#School_RedYellow1","statset0","itemsetNA","skillsetcomb","Fliuch Falcons"
"Shebe","Amazon","1#Steppes_18","StatSet0","ItemSetSF","SkillSetAffF","Rangers"
"Shee-Shee","Galdr","","StatSet0","ItemSetSA","SkillSetAffA","Vhyn Vagrants"
"Shelellehee","Gungnir","4#Nordagh_18","StatSet0","ItemSetNA","SkillSetAffA","Eyes of the Beast"
"Shelley","BanditBF","3#School_BlackYellow3","StatSet3","ItemSetIE","SkillSetComb","Femina Formosos"
"Shepenwepet","Scarab","0#Bug_04","statset0","itemsetEA","skillsetcomb","School of the Desert Oasis"
"Sheyna","BarbarianF","3#Nordagh_16","StatSet0","ItemSetNE","SkillSetComb",""
"Shira","BanditBF","0#School_RedPurple4","StatSet0","ItemSetSA","SkillSetAffA","School of Xandus"
"Shivawn","BarbarianF","2#Nordagh_12","StatSet0","ItemSetIW","SkillSetAffW",""
"Shosafeen","Galdr","2#School_BlackBlack4","StatSet0","ItemSetSA","SkillSetAffA","Riot Gyhrls"
"Shraou","SamniteSte","2#Steppes_12","StatSet0","ItemSetSE","SkillSetAffE","Poachers"
"Shrayh","BanditAF","0#School_YellowBlack5","StatSet0","ItemSetSU","SkillSetComb","School of Suyhron"
"Shrea","ArcherF","2#Steppes_09","StatSet0","ItemSetSA","SkillSetAffA","Poachers"
"Shreah","UndeadMeleeSteB","0#School_YellowBlack3","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Shria","Archer","0#School_YellowGreen4","statset0","ItemSetSU","skillsetcomb","Rywigo Arrowheads"
"Shylah","Galdr","2#Nordagh_13","StatSet0","ItemSetNA","SkillSetComb","Story Characters"
"Sibyl","CitizenImpF","2#Imperia_06","StatSet4","itemsetIU","qstInvasion","Citizen of Imperia"
"SIDEKICK","","","","","",""
"Sidor","secutorImp","2#Imperia_18","statset0","ItemSetIF","skillsetcomb","ImperiaSchool"
"Sigfus","Yeti","4#Yeti4","StatSet0","ItemSetEW","SkillSetAffW","Well Diggers"
"Sighle","Galdr","0#School_PurpleYellow1","StatSet0","ItemSetEA","SkillSetAffA","spellcasters"
"Sigi","Galdr","2#qstSigi","StatSet4","itemsetSigi","skillsetsigi",""
"Sigrunt","Mongrel","1#","StatSet1","ItemSetNE","SkillSetAffE","WildernessNordaghMonster"
"Sigvatr","Barbarian","3#","StatSet0","ItemSetNA","SkillSetComb","NoSchool"
"Sila","Bear","0#","StatSet0","ItemSetIU","SkillSetComb",""
"Silas","Satyr","1#Satyr1","StatSet0","ItemSetNW","SkillSetAffW","Borte Hulagu"
"Sim","Satyr","3#Satyr1","StatSet0","ItemSetIU","SkillSetComb",""
"Sindel","Legionnaire","","StatSet0","ItemSetIA","SkillSetAffA","ImperiaSyrnaLocalRecruits"
"Sinis","UndeadMeleeImpB","","StatSet2","ItemSetIU","SkillSetComb","ImperiaMonsterSchool"
"Sirdare","Cat","1#","StatSet0","ItemSetSA","SkillSetAffA","WildernessSteppesPuma"
"Sirenput","Dervish","2#Expanse_04","StatSet0","ItemSetEA","SkillSetAffA","The Midclass of Akar An"
"Sitamun","Summoner","","StatSet0","ItemSetEF","SkillSetAffF","Mikara Jackals"
"Sitheag","Galdr","","StatSet0","ItemSetNE","SkillSetAffE","Vhyn Vagrants"
"Sitre","DervishF","1#","StatSet0","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Slainidh","BerserkerF","4#berserker04","StatSet0","ItemSetSF","SkillSetAffF","Baneful Berserkers"
"Snok","Mongrel","1#Nordagh_03","StatSet3","ItemSetNU","SkillSetComb","WildernessNordaghMonster"
"Snoog","MongrelShaman","1#Nordagh_08","statset0","itemsetNW","skillsetaffW",""
"Sochon","UndeadMeleeImpB","","StatSet0","ItemSetIU","SkillSetComb","WildernessImperiaUndead"
"Socomed","Murmillo","2#School_YellowGreen4","StatSet0","ItemSetIE","SkillSetAffE","Rywigo Arrowheads"
"Socos","DarkLegionnaire","","StatSet0","ItemSetID","SkillSetComb","WildernessExpanseDark"
"Sokhatai","Amazon","2#","StatSet3","ItemSetSF","SkillSetAffF","WildernessSteppesOutlaw"
"Solum","BeastEarthGreater","","StatSet0","ItemSetEE","skillsetgreaterearth","Story Characters"
"Somhairle","UndeadCasterA","","StatSet0","ItemSetND","SkillSetAffD",""
"Sosipatros","BanditA","2#","StatSet4","ItemSetSE","SkillSetAffE","ImperiaTrikataTribunal"
"Ssima","ChannelerImp","4#School_RedBlue4","StatSet0","ItemSetEU","SkillSetComb","Qo'ai-Marael"
"Statue01","PropStatue","0#","StatSet0","","SkillSetComb","PropSchool"
"Statue02","PropStatue","0#","StatSet0","","SkillSetComb","PropSchool"
"Statue03","PropStatue","0#","StatSet0","","SkillSetComb","PropSchool"
"Statue04","PropStatue","0#","StatSet0","","SkillSetComb","PropSchool"
"Statue05","PropStatue","","StatSet0","","SkillSetComb","PropSchool"
"Stheon","BanditA","1#","StatSet2","ItemSetIE","SkillSetAffE","WildernessImperiaOutlaw"
"StoryMutuus","Mutuus","0#","StatSet0","ItemSetIF","SkillSetComb",""
"StoryNephilia","Nephilia","0#","StatSet0","ItemSetIE","SkillSetComb",""
"Strachys","CitizenNorF","4#Imperia_11","StatSet4","ItemSetIA","SkillSetComb","ImperiaTribunal"
"Strodas","BanditA","1#","StatSet0","ItemSetEW","SkillSetComb","WildernessImperiaOutlaw"
"Strodos","BanditA","2#","statset0","ItemSetIA","SkillSetAffA","NoSchool"
"Strothe","DarkLegionnaire","0#Imperia_13","StatSet0","ItemSetIA","SkillSetAffA",""
"Stuart","BanditA","1#","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghOutlaw"
"Sturlid","BanditA","1#","StatSet0","ItemSetNF","SkillSetAffF","WildernessNordaghOutlaw"
"Sturm","BanditB","1#","StatSet0","ItemSetSE","SkillSetAffE","WildernessSteppesOutlaw"
"Sube","Cat","0#","statset0","ItemSetSA","SkillSetAffA","Eyes of the Beast"
"Subotai","SecutorSte","1#Steppes_17","statset0","ItemSetSU","skillsetcomb","Vhyn Vagrants"
"Subult","Archer","5#","StatSet0","ItemSetSF","SkillSetComb","WildernessSteppesOutlaw"
"Suhah","ArcherF","1#Steppes_15","statset0","ItemSetEU","skillsetcomb","Sandskimmers"
"Suhe","Ogre","2#Ogre_19","statset0","ItemSetSF","SkillSetAffF","Krakens"
"Sukh","ChannelerImp","1#","StatSet0","ItemSetEE","SkillSetAffE","NoSchool"
"Sukhebaatar","Amazon","2#School_BlackBlack4","statset0","ItemSetSF","SkillSetAffF","Riot Gyhrls"
"Sukhtaq","Amazon","0#School_YellowGreen4","StatSet0","ItemSetSE","SkillSetAffE","Rywigo Arrowheads"
"Suma","DervishF","3#Expanse_17","statset0","itemsetEE","skillsetcomb","NoSchool"
"Summoner","summoner","1#Expanse_07","statset0","ItemSetEF","SkillSetAffF","ExpanseSchool"
"SummonerExtra","Summoner","1#Expanse_05","statset0","ItemSetEW","SkillSetAffW","SpellCaster School"
"Surengiin","SecutorSte","4#School_YellowBlue3","statset0","ItemSetSF","SkillSetAffF","Borte Hulagu"
"Surero","BanditB","2#","StatSet0","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Surtak","Bear","0#","statset0","itemsetNE","SkillSetAffE","Borte Hulagu"
"Susa","ArcherF","1#","StatSet1","ItemSetOnslaught","SkillSetAffF","ImperiaOrusOnslaught"
"Susai","Cyclops","1#","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Susen","GungnirF","3#Nordagh_08","StatSet0","ItemSetNA","SkillSetComb","Black Band of Seven"
"Sutekh","Summoner","2#School_PurpleYellow1","statset0","itemsetEE","SkillSetAffE","Spellcasters"
"Svar","Bear","2#","statset0","ItemsetNE","skillsetcomb","The Sylvan Ones"
"Syban","UndeadMeleeSteA","","StatSet1","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Sydok","Galdr","","StatSet0","ItemSetNF","SkillSetAffF","Story Characters"
"Syloson","Minotaur","3#Minotaur5","StatSet2","ItemSetIE","SkillSetAffE","ImperiaMonsterSchool"
"Sylwan","Centurion","","StatSet0","ItemSetIW","SkillSetComb","ImperiaSyrnaLocalRecruits"
"Sylwester","Peltast","3#Imperia_16","statset0","ItemSetIA","SkillSetName",""
"Syprian","BanditB","3#","StatSet3","ItemSetIE","SkillSetAffE","ImperiaBelfortLocalRecruits"
"Sztekag","Scarab","4#","StatSet2","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Taban","Archer","5#","StatSet0","ItemSetSW","SkillSetAffW","WildernessSteppesOutlaw"
"Tabin","Ogre","2#Ogre_11","statset0","ItemSetSF","SkillSetAffF","Poachers"
"Tadgh","Berserker","1#berserker08","StatSet0","ItemSetNF","SkillSetAffF",""
"Tafru","MongrelShaman","1#Nordagh_03","StatSet0","ItemSetIF","SkillSetAffF","School of Past Glory"
"Taggart","Satyr","1#Satyr1","StatSet0","ItemSetEW","SkillSetAffW","Shepards of Sloan"
"Taghus","Ogre","2#Ogre_16","StatSet0","ItemSetSU","SkillSetComb","Krakens"
"Taheret","UndeadMeleeExpB","","StatSet1","ItemSetEA","SkillSetAffA",""
"Tahirah","ChannelerImp","0#School_PurpleYellow1","StatSet0","ItemSetEA","SkillSetAffA","spellcasters"
"Taidjut","ArcherF","1#School_RedPurple5","statset0","ItemSetSE","skillsetcomb","School of Xandus"
"Taillte","GungnirF","","StatSet0","ItemSetNE","SkillSetAffE","Rangers"
"Tainted Air Beast_Summoned","BeastDarkAir","","StatSet0","ItemSetEA","skillsetSumTAir","NoSchool"
"Tainted Earth Beast_Summoned","BeastDarkEarth","","StatSet0","ItemSetEE","skillsetSumTEarth","NoSchool"
"Tainted Fire Beast_Summoned","BeastDarkFire","","StatSet0","ItemSetEA","skillsetSumFire","NoSchool"
"Tainted Water Beast_Summoned","BeastDarkWater","","StatSet0","ItemSetEW","skillsetSumTWater","NoSchool"
"Taithleach","UndeadCasterA","","StatSet0","ItemSetND","SkillSetComb",""
"Talaloo","Summoner","4#qstHellGateFire","StatSet1","itemsetHGFire","summonerHGFire","qstHellGateSchoolFire"
"Taletha","CitizenSteF","4#Imperia_01","StatSet4","ItemSetIF","SkillSetComb","ImperiaTribunal"
"Tallus","BanditAF","2#School_BlackYellow2","StatSet2","ItemSetNF","SkillSetAffF","Femina Formosos"
"Tamul","BanditAF","","StatSet0","ItemSetSF","SkillSetAffF","vhyn Vagrants"
"Tancorix","MurmilloF","2#Imperia_13","StatSet0","ItemSetIW","SkillSetAffW","ImperiaOrusLocalRecruits"
"Taog","Barbarian","1#Nordagh_16","statset0","ItemSetIE","SkillSetAffE","NoSchool"
"Taran","Wolf","3#","statset0","ItemsetNE","skillsetcomb","The Pack"
"Targotai","Archer","5#","StatSet1","ItemSetSE","SkillSetAffE","WildernessSteppesOutlaw"
"Targoutai","Amazon","3#School_BlackBlack4","statset0","itemsetSE","SkillSetComb","Riot Gyhrls"
"Tarik","Dervish","","StatSet0","ItemSetEF","SkillSetAffF","Expanse Ringers"
"Tarrah","GungnirF","0#Nordagh_04","StatSet0","ItemSetNW","SkillSetAffW","school of past Glory"
"Tatiana","Cat","1#","StatSet2","ItemSetSA","SkillSetAffA","WildernessSteppesPuma"
"Tava","Summoner","4#qstHellGateFire","StatSet1","itemsetHGFire","SummonerHGFire","qstHellGateSchoolFire"
"Tchyt","Scarab","3#Bug_12","StatSet0","ItemSetEF","SkillSetAffF","Eyes of the Beast"
"Teala","Galdr","0#School_PurpleYellow1","StatSet0","ItemSetNF","SkillSetAffF","Spellcasters"
"Tebtengri","Wolf","0#","statset0","ItemSetSE","SkillSetAffE","Eyes of the Beast"
"Tecmede","MurmilloF","3#Imperia_02","StatSet0","ItemSetSW","SkillSetAffW","Warriors of Fortitude"
"Tecton","DarkLegionnaire","","StatSet1","ItemSetID","SkillSetComb","WildernessExpanseDark"
"Tefnut","BanditAF","","StatSet0","ItemSetEA","SkillSetAffA","Story Characters"
"Teginbek","Cat","","StatSet0","ItemSetEA","SkillSetAffA","Zhigazoo"
"Tegus","Archer","3#Steppes_01","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Tehuti","UndeadCasterA","","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseUndead"
"Tekutli","UndeadMeleeExpA","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Teleporting Statue A","PropStatue","","statue","","prop_randomteleport","Dynamic Statues"
"Teleporting Statue B","PropStatue","","statue","","prop_randomteleport","Dynamic Statues"
"Teleporting Statue C","PropStatue","","statue","","prop_randomteleport","Dynamic Statues"
"Teleporting Statue D","PropStatue","","statue","","prop_randomteleport","Dynamic Statues"
"Tellus","legionnaireF","4#School_BlueWhite3","statset0","ItemSetIA","skillsetcomb","BelfortMilitary"
"Telos","DarkLegionnaire","0#Imperia_17","StatSet0","ItemSetIU","SkillSetComb",""
"Telotus","Bear","3#","StatSet3","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Temagh","BanditAF","","StatSet0","ItemSetSU","SkillSetComb","Bhilly Bandits"
"Temuder","Archer","2#Steppes_15","StatSet0","ItemSetSA","SkillSetAffA","The Outcasts"
"Temudjhe","Amazon","","StatSet0","ItemSetSE","SkillSetAffE","lioness"
"Temuge","SamniteSteF","3#School_RedBlue4","statset0","ItemSetSW","SkillSetAffW","Qo'ai-Marael"
"Temulun","Archer","4#","statset0","ItemSetSFOXM","SkillSetComb",""
"Temur","Wolf","3#","statset0","ItemSetNE","SkillSetAffE","Eyes of the Beast"
"Tentkerer","Summoner","","StatSet0","ItemSetEA","SkillSetAffA","Story Characters"
"Tentsai","BanditBF","3#","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseOutlaw"
"Teofil","Legionnaire","1#Imperia_20","StatSetW","ItemSetTrain","SkillSetTrain","ImperiaPirgosLameticus"
"Tepya","BanditB","4#","StatSet1","ItemSetEU","SkillSetComb","WildernessExpanseOutlaw"
"Terbish","SamniteExp","4#","StatSet0","ItemSetIE","SkillSetAffE","Krakens"
"Teus","CitizenImp","4#Imperia_18","StatSet5","itemsetIU","qstInvasion","Citizen of Imperia"
"Tgetrk","Scarab","4#","StatSet1","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Thalana","Murmillo","3#School_RedPurple3","statset0","ItemSetIA","SkillSetAffA","School of Xandus"
"Thea","Bear","3#","statset0","ItemsetNA","skillsetcomb","Masters of the Glade"
"Thebe","ChannelerImp","1#Imperia_02","StatSet5","ItemSetIE","SkillSetAffE","ImperiaPirgosChannelers"
"Theodosios","BanditA","2#","StatSet0","ItemSetIE","SkillSetAffE","ImperiaCroPrisoners"
"Theophilius","Centurion","4#Imperia_01","StatSet0","ItemSetIW","SkillSetAffW","ImperiaOrusLocalRecruits"
"Theugo","Archer","2#Steppes_16","StatSet0","ItemSetSU","SkillSetComb","Rangers"
"Thjorka","BarbarianF","2#Nordagh_13","statset0","ItemSetNF","skillsetaffF","Dragonheart Militia"
"Thoe","SecutorImpF","1#School_BlackRed2","StatSet5","ItemSetNF","skillsetaffF","Shadow of the Empire"
